N,P,K,temperature,humidity,ph,rainfall,label
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,rice
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,rice
82,40,40,23.83067496,84.81360127,6.271478837999999,298.5601175,rice
85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,rice
91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,rice
76,49,42,24.958779,84.47963372,5.206373153,196.95600080000003,rice
74,39,38,23.24113501,84.59201843,7.782051312999999,233.0453455,rice
79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,rice
88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,rice
60,36,43,23.43121862,83.06310136,5.286203711000001,219.9048349,rice
76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,rice
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,rice
65,60,43,21.97199397,81.89918197,5.658169482000001,227.3637009,rice
95,52,36,26.22916897,83.83625819,5.543360237999999,286.5083725,rice
75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,rice
74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,rice
91,36,45,24.44345477,82.45432595,5.950647577000001,267.97619480000003,rice
71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,rice
99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,rice
72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,rice
83,58,45,25.75528612,83.51827127,5.875345751,245.6626799,rice
93,58,38,20.61521424,83.77345559,6.932400225,279.5451717,rice
70,36,42,21.84106875,80.72886384,6.9462098810000015,202.3838319,rice
76,47,42,20.08369642,83.29114712,5.739175027000001,263.6372176,rice
99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,rice
99,54,37,21.14347496,80.33502926,5.5948196260000005,198.6730942,rice
86,59,35,25.78720567,82.11124033,6.946636369,243.5120414,rice
69,46,41,23.64124821,80.28597873,5.012139669,263.1103304,rice
91,56,37,23.43191632,80.56887849,6.363472207999999,269.5039162,rice
61,52,41,24.97669518,83.891805,6.880431223,204.8001847,rice
67,45,38,22.72791041,82.17068809999998,7.300410836,260.8875056,rice
79,42,37,24.87300744,82.84022551,6.587918707999999,295.6094492000001,rice
78,43,42,21.32376327,83.00320459,7.283736617000001,192.3197536,rice
75,54,36,26.29465461,84.56919326,7.023936392,257.4914906,rice
97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,rice
67,47,44,26.73072391,81.78596776,7.868474653,280.4044392,rice
73,35,38,24.88921174,81.97927117,5.005306977,185.9461429,rice
77,36,37,26.88444878,81.46033732,6.136131869,194.5766559,rice
81,41,38,22.67846116,83.72874389,7.5240800760000015,200.9133156,rice
68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,rice
72,45,35,25.42977518,82.94682591,5.758506323,195.3574542,rice
61,53,43,26.40323239,81.05635517,6.349606327,223.3671883,rice
67,43,39,26.04371967,84.96907151,5.9999690260000005,186.7536773,rice
67,58,39,25.2827223,80.54372813,5.453592032,220.1156708,rice
66,60,38,22.08576562,83.47038318,6.372576327000001,231.7364957,rice
82,43,38,23.28617173,81.43321641,5.105588355,242.3170629,rice
84,50,44,25.48591986,81.40633547,5.9353444060000005,182.6549356,rice
81,53,42,23.67575393,81.03569343,5.17782304,233.7034975,rice
91,50,40,20.82477109,84.1341879,6.462391607000001,230.22422230000004,rice
93,53,38,26.92995077,81.91411159,7.069172227,290.67937830000005,rice
90,44,38,23.83509503,83.88387074,7.473134377,241.20135130000003,rice
81,45,35,26.52872817,80.12267476,6.158376967000001,218.9163567,rice
78,40,38,26.46428311,83.85642678,7.549873681,248.2256491,rice
60,51,36,22.69657794,82.81088865,6.028321557999999,256.9964761,rice
88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,rice
93,47,37,21.53346343,82.14004101,6.500343222000001,295.9248796,rice
60,55,45,21.40865769,83.32931909999998,5.935745417000001,287.5766935000001,rice
78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,rice
65,37,40,23.35905428,83.59512273,5.333322606,188.413665,rice
71,54,16,22.61359953,63.69070564,5.7499144210000015,87.75953857,maize
61,44,17,26.10018422,71.57476937,6.931756557999999,102.2662445,maize
80,43,16,23.55882094,71.59351368,6.657964753,66.71995467,maize
73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,maize
61,38,20,18.47891261,62.69503871,5.970458434,65.43835393,maize
68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,maize
93,41,17,25.6217169,66.50415474,6.047906679,105.4654703,maize
89,60,19,25.19192419,66.69029010000001,5.913664501,78.06639649,maize
76,44,17,20.41683147,62.55424820000001,5.855442401,65.27798457,maize
67,60,25,24.92162194,66.78627406,5.750254943,109.2162279,maize
70,44,19,23.31689124,73.4541537,5.852607099,94.29712821,maize
90,49,21,24.84016732,68.3584573,6.4725232870000005,74.05474936,maize
62,52,16,22.27526694,58.84015925,6.9670577620000005,63.87020584,maize
92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,maize
66,54,21,25.19008683,60.200168700000006,5.919045532,72.12375573,maize
63,58,22,18.25405352,55.28220433,6.204747652999999,63.72358154,maize
70,47,17,24.612911800000006,70.4162444,6.600827017,104.1626147,maize
61,41,17,25.1420613,65.26185135,6.021902237000001,76.68456006,maize
66,53,19,23.09348056,60.11593810000001,6.033550195,65.49730729,maize
74,55,19,18.05033737,62.89366992,6.28886807,84.23613484,maize
77,57,21,24.9321581,73.80435276,6.550563822999999,79.74078719,maize
99,50,15,18.14710054,71.09445342,5.573286437,88.07753741,maize
74,56,22,18.28362235,66.65952796,6.829199275,80.97573281,maize
83,45,21,18.83344471,58.75082029,5.716222912,79.75328959999999,maize
100,48,16,25.71895816,67.22190688,5.54990242,74.51490791,maize
79,51,16,25.33797709,68.49835977,6.586244581,96.46380213,maize
94,39,18,23.89114571,57.48775781,5.893093135,102.8301942,maize
75,49,15,21.53574127,71.50905983,5.918263801,102.4852929,maize
78,48,22,23.08974909,63.10459626,5.588650585,70.43473609,maize
87,54,20,25.61707368,63.4711755,6.576418207000001,108.8303762,maize
87,35,25,21.44526922,63.1621551,6.178056304,65.88951188,maize
63,43,19,18.51816776,55.53128131,6.641906353,90.988051,maize
84,57,25,22.53510514,67.99257471,6.489040367,64.40866039,maize
64,35,23,23.02038334,61.89472002,5.680361037999999,63.03843397,maize
60,46,22,24.89364635,65.61418761,6.625404347999999,87.9298085,maize
98,44,21,25.77175115,74.089114,6.524478032,107.4931917,maize
75,56,18,19.39851734,62.35750641,5.696205468,60.95197486,maize
86,55,21,21.54156232,59.64024162,6.803931519,109.7515385,maize
98,35,18,23.79746068,74.82913698,6.252797547999999,91.76337172,maize
76,57,18,18.9802729,74.52600826,6.092725883,94.26249353,maize
99,56,17,24.10859207,73.13112261,6.234330356,71.07562236,maize
60,44,23,24.7947077,70.04556743,5.722579819,76.72860067,maize
74,48,17,21.63162756,60.27766379,6.430616465,69.21803098,maize
89,60,17,25.37548751,57.21025565,5.983952675,101.7004306,maize
69,51,23,22.21738222,72.85462807,6.80163854,106.6213157,maize
96,46,22,20.58314011,69.00128641,6.499936446,66.29390357,maize
61,60,15,24.87502824,68.74248334,6.265564338,91.26056654,maize
74,58,18,20.03728219,56.35606753,6.727303282,109.024141,maize
74,43,23,25.95263264,61.89082199,6.325235159,99.57981207,maize
63,43,17,19.28889933,65.47050802,6.807487794,71.3195307,maize
99,36,20,20.57981887,65.34583901,6.671085817000001,78.34604471,maize
77,36,23,24.71417533,56.73426469,6.648725327,88.45361858,maize
87,60,23,20.27317074,63.91281869,6.439071996,62.50351892,maize
60,38,17,18.41932981,64.23580251,6.474476516,76.41312437,maize
94,54,17,23.39128187,61.74427165,5.871647806,107.3198135,maize
95,38,22,19.84939404,61.24500053,5.730617109,100.7689246,maize
84,44,21,21.869274,61.91044947,5.850439831,107.2681929,maize
77,58,19,22.8056033,56.50768935,5.791649933,101.5952794,maize
66,44,20,19.0781471,69.02298571,6.740000687999999,80.72515943,maize
63,35,16,22.02720976,65.35549924,6.272417541,83.73280082,maize
79,45,20,23.80546189,59.24537979,5.715208817000001,89.96220140000001,maize
72,60,25,18.52510753,69.0276233,5.773454729,88.10234397,maize
67,51,24,23.50297882,61.32026065,5.584171461,64.77791424,maize
86,36,24,26.54986394,72.89187265,5.787268394,73.33636055,maize
76,48,18,19.29563411,69.63481219,5.77597783,83.21030571,maize
75,53,18,20.68899915,59.4375337,6.864793607,103.651438,maize
81,45,23,19.32666088,68.03449300000001,6.192360002999999,84.22969177,maize
73,45,21,24.60532218,73.58868502,6.636803222999999,96.59195302,maize
71,35,24,22.27373646,59.52193158,5.826426917,67.96704792,maize
96,54,22,25.70196694,61.33450447,6.960358276,83.20711308,maize
99,39,18,19.20129357,68.30578978,6.11275104,87.85092352,maize
62,48,20,21.70181447,60.47470519,6.708446922,95.71388473,maize
86,37,16,20.51716779,59.21235483,5.561510732,67.61013737,maize
94,50,19,23.30355338,73.62548442,5.873242491,97.59081274,maize
76,39,24,24.2547451,55.64709899,6.995843776,64.23845455,maize
77,52,17,24.86374934,65.7420046,5.714799723,75.82270467,maize
74,39,23,22.6265115,65.77472881,6.78073637,88.17251033,maize
81,49,20,18.04185513,60.61494304,5.513697923,104.2321615,maize
63,42,21,23.26237612,72.33125523,5.798423907999999,67.10225139,maize
99,38,21,22.88330922,71.59722446,6.352471866,67.72777298,maize
90,52,25,25.97482359,69.36385721,6.822586546,103.2234212,maize
68,40,19,26.14384005,66.20569924,6.655426355,107.2361366,maize
60,57,24,18.66116213,61.55327249,6.1212940410000005,75.03247667,maize
71,52,18,25.10787449,55.97732754,5.790770202999999,78.16077693,maize
61,59,17,23.33844615,59.24580604,6.47444292,105.0083144,maize
88,38,15,25.08239719,65.92195844,6.455116637000001,62.49190812,maize
65,60,22,25.36768364,72.52054555,6.6069840860000015,107.9124111,maize
78,37,22,25.34217103,63.31801994,6.330554389,74.52082026,maize
78,58,15,25.00933355,67.816568,6.5286312660000005,62.91359494,maize
92,60,23,18.66746724,71.516474,5.721667141,69.93293255,maize
79,59,17,20.37999665,63.73849998,6.644205485,108.5054416,maize
91,55,15,18.09300227,72.61024172,6.376651091,78.96159541,maize
76,51,18,26.16985907,71.96246617,6.247040422,79.84925393,maize
87,48,25,18.65396672,61.37879671,6.656730007999999,93.62039175,maize
71,60,22,26.07470121,59.37147589,6.2048017,85.75692395,maize
90,57,24,18.92851916,72.80086137,6.158860284,82.34162918,maize
67,35,22,23.30546753,63.24648023,6.385684213999999,108.7603001,maize
60,54,19,18.74826712,62.49878458,6.417820493,70.23401597,maize
83,58,23,19.74213321,59.66263104,6.381201909,65.50861389,maize
83,57,19,25.73044432,70.74739256,6.877869005,98.73771338,maize
40,72,77,17.02498456,16.98861173,7.485996067,88.55123143,chickpea
23,72,84,19.02061277,17.13159126,6.920251378,79.92698081,chickpea
39,58,85,17.88776475,15.40589717,5.9969320370000005,68.54932919,chickpea
22,72,85,18.86805647,15.65809214,6.391173589,88.51048983,chickpea
36,67,77,18.36952567,19.56381041,7.152811172000001,79.26357665,chickpea
32,73,81,20.45078582,15.40312102,5.988992796000002,92.68373702,chickpea
58,70,84,20.6543203,16.60820843,6.231049027999999,74.6631118,chickpea
59,70,84,17.3348681,18.74926979,7.550808267000001,82.61734721,chickpea
42,62,75,18.17912258,18.90426935,7.010570541,81.84997529,chickpea
28,74,81,18.01272266,18.30968112,8.753795334,81.98568791,chickpea
58,66,79,20.99373558,19.33470387,8.718192847000001,93.55280105,chickpea
43,66,79,19.46233971,15.22538951,7.976607593,74.58565097,chickpea
58,63,81,19.81344531,14.69765308,6.515499548999999,78.96514709,chickpea
23,62,85,18.97424756,19.5161216,8.490127142,80.7108745,chickpea
27,62,77,18.19737048,14.71070537,6.576415562,70.18185181,chickpea
28,72,84,18.72963144,19.18197264,6.481783042999999,71.58010169,chickpea
50,56,76,20.99502153,19.8601304,7.966605025,73.50734019,chickpea
39,71,84,20.28155898,16.39535215,8.140825437,82.52339655,chickpea
25,78,76,17.48042641,15.7559405,7.228963452,66.96980581,chickpea
31,70,77,20.88818675,14.32313811,6.492546046,90.46228334,chickpea
26,80,83,17.08498521,16.14565756,7.528599957000001,71.31007253,chickpea
25,68,77,20.09340593,15.11279612,7.701446446,85.74904898,chickpea
31,78,76,17.57212145,14.99927489,8.519975748,89.31050665,chickpea
60,68,83,19.12065218,18.43475844,6.620900869,85.52950164,chickpea
59,62,83,18.57665902,19.22008229,8.104396057999999,72.94940441,chickpea
22,67,78,17.16606398,14.42457525,6.204090835,72.32667516,chickpea
36,65,80,18.2872007,16.67921616,6.051091339,74.87445574,chickpea
59,60,84,19.03025305,18.66725565,7.690962337999999,94.70992037,chickpea
54,77,85,17.141861399999996,17.0662427,7.8292111439999985,83.74606679,chickpea
43,68,81,17.47809436,17.93253975,6.761599706,78.92060234,chickpea
28,76,82,20.56601874,14.25803981,6.654425315,83.75937135,chickpea
42,79,85,17.22385224,15.82069268,6.129533877,76.57580954,chickpea
32,60,83,19.69141713,19.44225438,8.829273328,91.76071648,chickpea
22,78,76,17.84851658,19.09172907,8.621662982,76.32470713,chickpea
31,79,75,18.8202251,16.1074793,8.204862075,89.73119396,chickpea
28,58,81,17.47500984,16.54314829,6.18042747,93.35034262,chickpea
57,58,77,18.72649425,17.58406365,7.978996755,81.20176515,chickpea
49,55,78,18.65580107,16.17772668,7.863113671,81.70769297,chickpea
46,76,77,18.2356751,19.68538502,6.967843048,83.74879344,chickpea
54,61,77,18.81198127,15.21618225,6.206582192999999,77.54294240000002,chickpea
38,60,76,18.65054116,17.80852431,8.868741443,77.92798682,chickpea
59,55,79,20.36720401,16.89574311,8.766128654,82.2545577,chickpea
36,76,75,18.38120357,16.63805158,8.736337905,70.52056697,chickpea
57,68,81,17.17012591,17.30457712,8.081095263,72.78624223,chickpea
35,66,81,19.37101121,15.77458129,6.138243973,85.24819851,chickpea
35,64,78,17.92845928,14.27327988,7.496645259,85.37378769,chickpea
52,60,79,19.45339934,18.23490739,8.380185271,75.6317566,chickpea
27,76,83,19.12829388,14.92241479,6.289614016,89.61857826,chickpea
57,60,84,19.1034283,17.26184541,6.586777189,75.49101167,chickpea
52,68,78,17.48504075,16.96070581,6.89655198,86.05078037,chickpea
43,79,79,19.40751744,18.98030507,7.8067476560000015,80.25064637,chickpea
44,74,85,20.18649426,19.63719995,7.150681303,78.26039559,chickpea
24,55,78,17.30287885,15.15405941,6.64919573,75.57790384,chickpea
29,77,75,17.50361137,15.48083156,7.778591617999999,72.9446671,chickpea
20,60,78,18.17234999,14.70085967,6.358740355,90.7760707,chickpea
56,67,78,17.57445618,16.71826572,8.255450758,77.81891424,chickpea
37,66,85,20.93175255,18.91295403,6.456148474,78.06910795,chickpea
49,71,76,19.71098332,17.63879418,6.613072145,85.57925437,chickpea
59,69,80,19.07937684,17.86754927,8.165359297,69.40619137,chickpea
20,79,77,18.54988627,16.02542689,7.64867466,76.32565249,chickpea
24,56,85,18.19903647,17.41333199,6.545888558,80.6405403,chickpea
51,72,75,18.88852533,14.99451145,7.1042247970000005,80.11133840000002,chickpea
57,73,85,18.49311205,14.72115044,7.358099622,91.94595352,chickpea
22,64,82,19.48974337,17.17260319,6.4740245000000005,87.51312796,chickpea
52,73,79,17.25769499,18.74943955,7.840339388999999,94.00287214,chickpea
29,75,75,19.62416326,18.71483156,7.064790365,88.4585692,chickpea
44,59,78,20.67526473,19.85388984,7.599033472,84.78344008,chickpea
41,69,82,20.02381489,16.63294455,6.715587232000001,68.97806542,chickpea
52,56,85,20.118744600000007,14.44228303,6.81712422,88.68168643,chickpea
34,76,80,20.65691793,15.84572566,7.985417393,65.23811143,chickpea
42,74,83,19.2582557,14.2804191,7.545258424,65.78042032,chickpea
34,71,79,17.927806,15.85622899,7.728998197,74.63872762,chickpea
27,73,79,19.16288268,15.83500655,7.354973451,82.69766829,chickpea
30,70,79,20.26942271,19.96978871,7.313122235,69.64449182,chickpea
57,57,75,17.09104223,18.25142068,7.785039076,87.27444866,chickpea
27,79,82,17.06579293,17.54024066,6.307004922999999,70.87150577,chickpea
32,71,85,20.62767492,14.44008871,6.4039823160000005,92.06630306,chickpea
31,76,82,20.8248451,17.85057083,7.599279991,79.20509212,chickpea
33,75,84,19.46210401,18.72831993,7.217018459,68.81405149,chickpea
47,80,77,17.18248372,16.42891834,7.561108006,72.85017344,chickpea
54,62,80,17.48911699,16.39055394,7.489545074,79.45758333,chickpea
47,79,78,17.48395377,14.76014523,6.609696734,65.11365631,chickpea
35,57,83,19.48316794,17.44534641,7.476800943,80.4986291,chickpea
53,73,77,19.71359733,18.09665739,7.325451279,73.64476535,chickpea
45,61,78,19.48649305,16.06240074,6.489389282,81.52842690000001,chickpea
37,78,79,19.95264829,14.82633099,7.786366322,88.6810311,chickpea
30,75,81,19.41789736,16.80472243,6.4084378860000015,68.4951189,chickpea
37,55,82,19.45591848,18.02235902,8.423873703,78.44910564,chickpea
53,65,76,20.19137759,16.41998269,8.719960893,77.33795356,chickpea
22,60,85,18.8392908,14.74071856,7.811997977000001,94.78189594,chickpea
60,61,78,20.71219282,19.83643308,6.317153205,94.03659867,chickpea
42,67,77,18.99424448,15.9362937,7.114405288,78.69707199,chickpea
39,76,76,19.96837462,15.57324389,8.135900726000001,69.15759062,chickpea
35,63,76,17.81564548,17.60756635,7.714153037999999,90.82097601,chickpea
30,65,82,20.71424384,15.27824066,7.103798069,76.77888672,chickpea
57,56,78,17.34150229,18.75626255,8.861479668,67.9545435,chickpea
48,65,78,17.43732714,14.33847406,7.861128148,73.0926704,chickpea
36,56,83,18.89780215,19.76182946,7.4526709,69.09512477,chickpea
40,58,75,18.59190771,14.77959596,7.168096055,89.60982451,chickpea
49,69,82,18.31561493,15.36143547,7.26311855,81.78710463,chickpea
91,94,46,29.36792366,76.24900101,6.149934034,92.82840911,banana
105,95,50,27.33368994,83.67675197,5.849076099,101.0494791,banana
108,92,53,27.40053601,82.96221306,6.276800323,104.9378,banana
86,76,54,29.3159075,80.11585705,5.926824754,90.10978128,banana
80,77,49,26.05433004,79.39654531,5.519088423,113.2297373,banana
93,94,53,25.86632408,84.42379269,6.079178787999999,114.5357503,banana
90,92,55,27.00932084,80.18546798,6.13465588,97.32531705,banana
108,89,53,29.55054817,78.06762846,5.808497603999999,99.34482238,banana
108,88,55,26.28845991,83.390039,5.891458107,113.8729798,banana
105,77,52,29.16226551,76.16151562,5.816622478999999,100.0075679,banana
118,88,52,28.65003945,82.68752542,5.8431631610000005,98.75084366,banana
101,87,54,29.07311132,76.50045221,6.376756632999999,100.1692639,banana
95,75,50,28.08166093,75.26429821,5.623615687000001,118.2761894,banana
106,85,53,27.1994597,78.80860679999998,5.91505509,99.72430835,banana
86,95,49,28.05484146,78.04602887,6.458714879,108.3957179,banana
83,79,55,25.14748006,83.34688193,5.565028635,98.66679427,banana
85,95,47,25.94019018,78.3422098,6.211833161,119.84797,banana
109,79,45,27.66752761,79.68542782,6.490074429,108.66464,banana
100,76,45,25.56703012,75.94067692,5.590236025,102.7867717,banana
117,86,48,28.6956201,82.54195839,6.225225238999999,116.1616839,banana
114,94,53,26.33544853,76.8532006,6.190757458999999,118.6858263,banana
110,78,50,25.93730186,78.89864446,5.915568968,98.21747528,banana
94,70,48,25.13686519,84.88394407,6.195152442,91.46442491,banana
80,71,47,27.50527651,80.79783998,6.156373499,105.0776992,banana
114,79,51,26.21009246,82.34429458,6.313197204,112.0700033,banana
88,78,45,29.10403455,79.19588629,6.324270089,92.07835761,banana
112,73,48,29.244063800000006,77.32017166,5.7074889870000005,90.66727868,banana
117,76,47,25.56202173,77.38229006,6.119216009,93.10247183,banana
111,87,48,26.3985515,81.36028902,5.571401169,98.16752001,banana
89,83,47,28.09577643,77.79586769,5.63127166,109.5408614,banana
93,91,47,27.84767901,83.31110751,6.101241579,117.2878912,banana
92,81,52,27.39341554,81.4654833,6.438137278999998,94.31102057,banana
105,74,45,25.14517635,81.38204104,6.098369122,119.218154,banana
102,71,48,28.65456263,79.28693687,5.695267822000001,102.4633775,banana
94,91,51,29.16093424,76.67484233,5.6180944460000015,109.575944,banana
116,71,47,27.57278064,82.0638878,6.435785799,91.34276507,banana
117,79,49,25.40909896,82.36208097,6.176644228,112.9794804,banana
119,72,55,25.99069521,83.33983116,6.220643671,112.0777152,banana
99,73,53,26.29039046,81.06003778,5.8717022110000014,118.6730366,banana
91,84,52,29.14827211,78.71024836,6.390741836,117.536781,banana
80,90,47,26.59743595,79.35898915,6.21084479,107.3944717,banana
101,70,48,25.36059237,75.03193255,6.012696655,116.5531455,banana
108,89,53,29.12036889,80.18080728,5.908770059,112.3982055,banana
100,80,52,27.53911354,77.25629897,6.049801781,110.3262123,banana
109,91,53,29.66727337,83.51014178,6.010095852999999,110.2511102,banana
82,78,46,25.05802193,84.97323747,5.738678895,110.4408803,banana
106,70,55,25.86824781,78.52399914,5.74055541,116.3019555,banana
90,86,52,25.85036988,81.95580471,5.793260262,119.08561709999998,banana
83,95,50,26.51682337,77.79913575,5.50947065,108.8547508,banana
119,90,48,28.66725136,79.59242542,5.986442306,118.2583441,banana
107,72,45,28.14938935,81.54448882,5.790768046,91.40508414,banana
116,81,55,26.42313317,83.69950440000002,5.915546415,95.12322062,banana
101,75,50,26.59386409,81.40740301,6.242528277999999,109.9825551,banana
93,81,50,27.71822477,76.57853189,6.0360792660000016,102.2099836,banana
95,75,45,28.98333432,82.95958244,5.829898502000001,109.022564,banana
107,71,55,29.42017919,83.96754496,6.088064451,117.229079,banana
83,94,47,27.39872329,81.10523402,6.469370954,112.1355384,banana
102,73,54,26.4020227,84.41007614,5.720726906,111.0162259,banana
86,79,45,27.81251452,82.69285419,5.80766417,99.20961514,banana
117,86,53,25.19640218,83.55829874,5.703381727999999,115.8586081,banana
111,79,53,28.31193338,75.77363772,6.165001277999999,119.695765,banana
95,74,50,25.90113128,80.47152737,6.002481605,110.10323,banana
91,75,55,27.48612983,76.11239849,6.212369363,109.2768851,banana
93,83,46,29.38254012,83.50423735,5.765308943,109.2486647,banana
92,85,51,29.22118628,81.08183635,5.740764682000001,108.8616474,banana
104,80,54,27.09062164,81.33506906,5.879119455,110.1331182,banana
103,72,51,26.12643374,81.81365007,6.099478745,104.4812858,banana
92,75,45,29.01207743,77.95192527,5.674403358999999,90.43495443,banana
93,85,49,27.96799119,79.28625709,5.694243847,119.4765557,banana
120,87,52,28.0764455,76.05522115,5.905494703,118.99235729999998,banana
108,72,46,25.16278237,84.97849241,6.110844721,90.94554618,banana
105,88,54,25.78749808,84.51194224,6.020445317,114.2005455,banana
98,79,50,25.34119774,84.47321314,6.435917308,91.06493353,banana
111,88,55,29.44795403,78.34971537,5.505393832999999,96.45042585,banana
97,74,45,26.47522633,78.51833782,5.677719902000001,113.1161095,banana
95,82,48,27.39489579,83.31172003,5.719014989,92.78133617,banana
89,91,55,25.08347445,80.26173100000003,6.275572297999999,94.32961456,banana
89,85,55,26.671983500000003,76.48541655,6.275384607,91.73358569,banana
118,88,51,25.44926208,79.49221962,6.201911642000001,100.6619171,banana
101,92,45,28.22776705,80.64303840000002,5.758054257,98.00403016,banana
99,92,47,28.127950899999995,77.48247073,6.3239336470000005,103.5045395,banana
82,77,46,28.9470467,82.1888998,5.901100841,95.83016448,banana
90,86,55,27.96236771,84.15403614,5.644486582000001,97.55986676,banana
95,88,52,28.00316034,78.90085998,6.235461772000001,94.68180316,banana
104,73,46,29.1400919,80.1190228,6.28236237,90.45142867,banana
102,73,52,27.9122104,83.36307683,6.356090905,90.24211529,banana
100,74,52,25.43480512,81.53977797,5.837258235,96.47800391,banana
94,89,48,28.55980972,84.51602322,5.653437902,111.0843029,banana
99,70,46,26.59580783,82.99556744,5.727469947,100.5123341,banana
112,87,48,27.19711623,77.39706290000002,6.200111067999999,99.46950465,banana
117,82,45,25.29391516,79.29122198,5.614471478,105.4220251,banana
96,86,51,29.90888522,76.98740841,6.257369799,91.99964712,banana
113,85,45,27.94972463,76.63713353,6.037430836,109.0921631,banana
105,93,46,25.01018457,78.76260938,5.760457558,108.3690513,banana
85,89,51,29.21144871,84.70189923,6.1581644220000005,108.5501443,banana
108,94,47,27.35911627,84.54625006,6.387431382999999,90.81250457,banana
92,81,52,28.0106804,76.52808057,5.891413895,103.7040783,banana
110,71,54,28.67208915,82.20793613,5.725418961,94.37987496,banana
82,75,55,27.34585147,78.48738349999998,6.281069505,92.15524332,banana
117,81,53,29.50704598,78.20585613,5.507641777999999,98.12565829,banana
2,40,27,29.73770045,47.54885174,5.954626604,90.09586854,mango
39,24,31,33.55695561,53.72979826,4.757114897,98.67527561,mango
21,26,27,27.00315545,47.67525434,5.6995869720000005,95.85118326,mango
25,22,25,33.56150184,45.53556603,5.977413802999999,95.70525913,mango
0,21,32,35.89855625,54.25964196,6.430139436,92.19721736,mango
20,19,35,34.17719782,50.62161586,6.113935087000001,98.00687989,mango
19,21,34,30.01592643,53.19212381,5.074272692,97.72843182,mango
